400DN00602NS, 400CN0070ENR,    7,    1, 400DN0060DNS,  3142,        M,   7,
400DN00602SC, 400CN0300DSR,    35,    1, 400DN0060DSC,  3442,        M,   35,
400DN00602SS, 400CN0065DSR,    7,    1, 400DN0060DSS,  3152,        M,   7,
400DN00603NS, 400CN0070ENR,    2,    2, 400DN0060DNS,  3143,        M,   2,
400DN00603SC, 400CN0300DSR,    26,    2, 400DN0060DSC,  3443,        M,   26,
400DN00603SS, 400CN0065DSR,    2,    2, 400DN0060DSS,  3153,        M,   2,
400DN00604NS, 400CN0070ENR,    8,    2, 400DN0060DNS,  3144,        M,   8,
400DN00604SC, 400CN0300DSR,    36,    2, 400DN0060DSC,  3444,        M,   36,
400DN00604SS, 400CN0065DSR,    8,    2, 400DN0060DSS,  3154,        M,   8,
400DN00605NS, 400CN0070ENR,    3,    3, 400DN0060DNS,  3145,        M,   3,
400DN00605SS, 400CN0065DSR,    3,    3, 400DN0060DSS,  3155,        M,   3,
400DN00606NS, 400CN0070ENR,    9,    3, 400DN0060DNS,  3146,        M,   9,
400DN00606SS, 400CN0065DSR,    9,    3, 400DN0060DSS,  3156,        M,   9,
400DN00607NS, 400CN0070ENR,    4,    4, 400DN0060DNS,  3147,        M,   4,
400DN00607SS, 400CN0065DSR,    4,    4, 400DN0060DSS,  3157,        M,   4,
400DN00608NS, 400CN0070ENR,    10,    4, 400DN0060DNS,  3148,        M,   10,
